criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,imdb_tconst,imdb_primaryTitle,imdb_startYear,match_score,match_method
751,752.0,"Vernon, Florida",1981.0,Errol Morris,"United States,",tt0083281,"Vernon, Florida",1981.0,112.0,auto
752,753.0,The Thin Blue Line,1988.0,Errol Morris,"United States,",tt0096257,The Thin Blue Line,1988.0,112.0,auto
753,754.0,Odd Man Out,1947.0,Carol Reed,"United Kingdom,",tt0039677,Odd Man Out,1947.0,112.0,auto
754,755.0,Le silence de la mer,1949.0,Jean-Pierre Melville,"France,",tt0039822,The Silence of the Sea,1949.0,112.0,auto
755,756.0,Limelight,1952.0,Charles Chaplin,"United States,",tt0044837,Limelight,1952.0,112.0,auto
756,757.0,The Rose,1979.0,Mark Rydell,"United States,",tt0079826,The Rose,1979.0,112.0,auto
757,758.0,The Merchant of Four Seasons,1971.0,Rainer Werner Fassbinder,"Germany,",tt0067227,The Merchant of Four Seasons,1972.0,106.0,auto
758,759.0,The Confession,1970.0,Costa-Gavras,"Italy,",tt0065439,The Confession,1970.0,112.0,auto
759,760.0,State of Siege,1972.0,Costa-Gavras,"France,",tt0070959,State of Siege,1972.0,112.0,auto
760,761.0,Valerie and Her Week of Wonders,1970.0,Jaromil Jireš,"Czechoslovakia,",tt0066516,Valerie and Her Week of Wonders,1970.0,112.0,auto
761,762.0,A Master Builder,2014.0,Jonathan Demme,"United States,",tt2276069,A Master Builder,2013.0,106.0,auto
762,763.0,The Bridge,1959.0,Bernhard Wicki,"Germany,",tt0052654,The Bridge,1959.0,112.0,auto
763,764.0,The Fisher King,1991.0,Terry Gilliam,"United States,",tt0101889,The Fisher King,1991.0,112.0,auto
764,765.0,The Black Stallion,1979.0,Carroll Ballard,"United States,",tt0078872,The Black Stallion,1979.0,112.0,auto
765,766.0,Here Is Your Life,1966.0,Jan Troell,"Sweden,",tt0060529,Here Is Your Life,1966.0,112.0,auto
766,767.0,My Beautiful Laundrette,1985.0,Stephen Frears,"United Kingdom,",tt0091578,My Beautiful Laundrette,1985.0,112.0,auto
767,768.0,The French Lieutenant’s Woman,1981.0,Karel Reisz,"United Kingdom,",tt0082416,The French Lieutenant's Woman,1981.0,112.0,auto
768,769.0,Day for Night,1973.0,François Truffaut,"France,",tt0070460,Day for Night,1973.0,112.0,auto
769,770.0,Dressed to Kill,1980.0,Brian De Palma,"United States,",tt0080661,Dressed to Kill,1980.0,112.0,auto
770,771.0,"Two Days, One Night",2014.0,Jean-Pierre Dardenne and Luc Dardenne,"Belgium,",tt2737050,"Two Days, One Night",2014.0,112.0,auto
772,773.0,Breaker Morant,1980.0,Bruce Beresford,"Australia,",tt0080310,Breaker Morant,1980.0,112.0,auto
773,774.0,Mister Johnson,1990.0,Bruce Beresford,"United States,",tt0102458,Mister Johnson,1990.0,112.0,auto
774,775.0,A Room with a View,1986.0,James Ivory,"United Kingdom,",tt0091867,A Room with a View,1985.0,106.0,auto
775,776.0,Moonrise Kingdom,2012.0,Wes Anderson,"United States,",tt1748122,Moonrise Kingdom,2012.0,112.0,auto
776,777.0,The Brood,1979.0,David Cronenberg,"Canada,",tt0078908,The Brood,1979.0,112.0,auto
777,778.0,A Special Day,1977.0,Ettore Scola,"Italy,",tt0076085,A Special Day,1977.0,112.0,auto
778,779.0,Mulholland Dr.,2001.0,David Lynch,"United States,",tt0166924,Mulholland Drive,2001.0,112.0,auto
779,780.0,Code Unknown,2000.0,Michael Haneke,"France,",tt0216625,Code Unknown,2000.0,112.0,auto
780,781.0,In Cold Blood,1967.0,Richard Brooks,"United States,",tt0061809,In Cold Blood,1967.0,112.0,auto
782,783.0,Pather Panchali,1955.0,Satyajit Ray,"India,",tt0048473,Pather Panchali,1955.0,112.0,auto
783,784.0,Aparajito,1956.0,Satyajit Ray,"India,",tt0048956,The Unvanquished,1956.0,112.0,auto
784,785.0,Apur Sansar,1959.0,Satyajit Ray,"India,",tt0052572,The World of Apu,1959.0,112.0,auto
785,786.0,Dont Look Back,1967.0,D. A. Pennebaker,"United States,",tt0061589,Bob Dylan: Dont Look Back,1967.0,112.0,auto
786,787.0,Jellyfish Eyes,2013.0,Takashi Murakami,"Japan,",tt2006181,Jellyfish Eyes,2013.0,112.0,auto
787,788.0,Speedy,1928.0,Ted Wilde,"United States,",tt0019412,Speedy,1928.0,112.0,auto
788,789.0,Burroughs: The Movie,1983.0,Howard Brookner,"United States,",tt3581384,Burroughs: The Movie,1983.0,112.0,auto
789,790.0,Lady Snowblood,1973.0,Toshiya Fujita,"Japan,",tt0158714,Lady Snowblood,1973.0,112.0,auto
791,792.0,Bitter Rice,1949.0,Giuseppe De Santis,"Italy,",tt0040737,Bitter Rice,1949.0,112.0,auto
792,793.0,The American Friend,1977.0,Wim Wenders,"Germany,",tt0075675,The American Friend,1977.0,112.0,auto
793,794.0,Inside Llewyn Davis,2013.0,Joel Coen and Ethan Coen,"United States,",tt2042568,Inside Llewyn Davis,2013.0,112.0,auto
794,795.0,Gilda,1946.0,Charles Vidor,"United States,",tt0038559,Gilda,1946.0,112.0,auto
795,796.0,The Emigrants,1971.0,Jan Troell,"Sweden,",tt0067919,The Emigrants,1971.0,112.0,auto
796,797.0,The New Land,1972.0,Jan Troell,"Sweden,",tt0069035,The New Land,1972.0,112.0,auto
797,798.0,Death by Hanging,1968.0,Nagisa Oshima,"Japan,",tt0063198,Death by Hanging,1968.0,112.0,auto
798,799.0,The Kid,1921.0,Charles Chaplin,"United States,",tt0012349,The Kid,1921.0,112.0,auto
799,800.0,The Graduate,1967.0,Mike Nichols,"United States,",tt0061722,The Graduate,1967.0,112.0,auto
800,801.0,I Knew Her Well,1965.0,Antonio Pietrangeli,"Italy,",tt0060545,I Knew Her Well,1965.0,112.0,auto
801,802.0,Paris Belongs to Us,1961.0,Jacques Rivette,"France,",tt0054156,Paris Belongs to Us,1961.0,112.0,auto
802,803.0,The Manchurian Candidate,1962.0,John Frankenheimer,"United States,",tt0056218,The Manchurian Candidate,1962.0,112.0,auto
803,804.0,A Brighter Summer Day,1991.0,Edward Yang,"Taiwan,",tt0101985,A Brighter Summer Day,1991.0,112.0,auto
804,805.0,A Poem Is a Naked Person,1974.0,Les Blank,"United States,",tt0424359,A Poem Is a Naked Person,1974.0,112.0,auto
805,806.0,Only Angels Have Wings,1939.0,Howard Hawks,"United States,",tt0031762,Only Angels Have Wings,1939.0,112.0,auto
806,807.0,Barcelona,1994.0,Whit Stillman,"United States,",tt0109219,Barcelona,1994.0,112.0,auto
808,809.0,Phoenix,2014.0,Christian Petzold,"Germany,",tt2764784,Phoenix,2014.0,112.0,auto
809,810.0,In a Lonely Place,1950.0,Nicholas Ray,"United States,",tt0042593,In a Lonely Place,1950.0,112.0,auto
810,811.0,The Naked Island,1960.0,Kaneto Shindo,"Japan,",tt0056049,The Naked Island,1960.0,112.0,auto
811,812.0,The Player,1992.0,Robert Altman,"United States,",tt0105151,The Player,1992.0,112.0,auto
813,814.0,Alice in the Cities,1974.0,Wim Wenders,"Germany,",tt0069687,Alice in the Cities,1974.0,112.0,auto
814,815.0,Wrong Move,1975.0,Wim Wenders,"Germany,",tt0071483,Wrong Move,1975.0,112.0,auto
815,816.0,Kings of the Road,1976.0,Wim Wenders,"Germany,",tt0073152,Kings of the Road,1976.0,112.0,auto
816,817.0,Le amiche,1955.0,Michelangelo Antonioni,"Italy,",tt0047821,Le Amiche,1955.0,112.0,auto
817,818.0,La chienne,1931.0,Jean Renoir,"France,",tt0021739,The Bitch,1931.0,112.0,auto
818,819.0,Here Comes Mr. Jordan,1941.0,Alexander Hall,"United States,",tt0033712,Here Comes Mr. Jordan,1941.0,112.0,auto
819,820.0,Fantastic Planet,1973.0,René Laloux,"France,",tt0070544,Fantastic Planet,1973.0,112.0,auto
820,821.0,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",1964.0,Stanley Kubrick,"United States,",tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,112.0,auto
821,822.0,Clouds of Sils Maria,2014.0,Olivier Assayas,"France,",tt2452254,Clouds of Sils Maria,2014.0,112.0,auto
822,823.0,The In-Laws,1979.0,Arthur Hiller,"United States,",tt0079336,The In-Laws,1979.0,112.0,auto
824,825.0,A Touch of Zen,1971.0,King Hu,"Taiwan,",tt0064451,A Touch of Zen,1971.0,112.0,auto
825,826.0,The New World,2005.0,Terrence Malick,"United States,",tt0402399,The New World,2005.0,112.0,auto
826,827.0,McCabe & Mrs. Miller,1971.0,Robert Altman,"United States,",tt0067411,McCabe & Mrs. Miller,1971.0,112.0,auto
827,828.0,Ingrid Bergman: In Her Own Words,2015.0,Stig Björkman,"Sweden,",tt4621016,Ingrid Bergman: In Her Own Words,2015.0,112.0,auto
828,829.0,A Taste of Honey,1961.0,Tony Richardson,"United Kingdom,",tt0055506,A Taste of Honey,1961.0,112.0,auto
829,830.0,Chimes at Midnight,1966.0,Orson Welles,"Spain,",tt0059012,Chimes at Midnight,1965.0,106.0,auto
830,831.0,The Immortal Story,1968.0,Orson Welles,"France,",tt0063127,The Immortal Story,1968.0,112.0,auto
831,832.0,The Story of the Last Chrysanthemum,1939.0,Kenji Mizoguchi,"Japan,",tt0032156,The Story of the Last Chrysanthemum,1939.0,112.0,auto
832,833.0,Cat People,1942.0,Jacques Tourneur,"United States,",tt0034587,Cat People,1942.0,112.0,auto
833,834.0,Blood Simple,1984.0,Joel Coen,"United States,",tt0086979,Blood Simple,1984.0,112.0,auto
834,835.0,Valley of the Dolls,1967.0,Mark Robson,"United States,",tt0062430,Valley of the Dolls,1967.0,112.0,auto
835,836.0,Beyond the Valley of the Dolls,1970.0,Russ Meyer,"United States,",tt0065466,Beyond the Valley of the Dolls,1970.0,112.0,auto
837,838.0,Pan’s Labyrinth,2006.0,Guillermo del Toro,"Spain,",tt0457430,Pan's Labyrinth,2006.0,112.0,auto
838,839.0,Boyhood,2014.0,Richard Linklater,"United States,",tt1065073,Boyhood,2014.0,112.0,auto
839,840.0,The Executioner,1963.0,Luis García Berlanga,"Spain,",tt0057643,The Executioner,1963.0,112.0,auto
842,843.0,Punch-Drunk Love,2002.0,Paul Thomas Anderson,"United States,",tt0272338,Punch-Drunk Love,2002.0,112.0,auto
843,844.0,One-Eyed Jacks,1961.0,Marlon Brando,"United States,",tt0055257,One-Eyed Jacks,1961.0,112.0,auto
844,845.0,The Squid and the Whale,2005.0,Noah Baumbach,"United States,",tt0367089,The Squid and the Whale,2005.0,112.0,auto
845,846.0,Heart of a Dog,2015.0,Laurie Anderson,"United States,",tt4935446,Heart of a Dog,2015.0,112.0,auto
846,847.0,The Asphalt Jungle,1950.0,John Huston,"United States,",tt0042208,The Asphalt Jungle,1950.0,112.0,auto
847,848.0,Roma,1972.0,Federico Fellini,"Italy,",tt0069191,Roma,1972.0,112.0,auto
848,849.0,His Girl Friday,1940.0,Howard Hawks,"United States,",tt0032599,His Girl Friday,1940.0,112.0,auto
849,850.0,Something Wild,1961.0,Jack Garfein,"United States,",tt0055464,Something Wild,1961.0,112.0,auto
850,851.0,Fox and His Friends,1975.0,Rainer Werner Fassbinder,"Germany,",tt0072976,Fox and His Friends,1975.0,112.0,auto
851,852.0,Black Girl,1966.0,Ousmane Sembène,"Senegal,",tt0060758,Black Girl,1966.0,107.0,auto
852,853.0,Cameraperson,2016.0,Kirsten Johnson,"United States,",tt5375040,Cameraperson,2016.0,112.0,auto
853,854.0,The Tree of Wooden Clogs,1978.0,Ermanno Olmi,"Italy,",tt0077138,The Tree of Wooden Clogs,1978.0,112.0,auto
854,855.0,Women on the Verge of a Nervous Breakdown,1988.0,Pedro Almodóvar,"Spain,",tt0095675,Women on the Verge of a Nervous Breakdown,1988.0,112.0,auto
856,857.0,Before Sunrise,1995.0,Richard Linklater,"United States,",tt0112471,Before Sunrise,1995.0,112.0,auto
857,858.0,Before Sunset,2004.0,Richard Linklater,"United States,",tt0381681,Before Sunset,2004.0,112.0,auto
858,859.0,Before Midnight,2013.0,Richard Linklater,"United States,",tt2209418,Before Midnight,2013.0,112.0,auto
859,860.0,Mildred Pierce,1945.0,Michael Curtiz,"United States,",tt0037913,Mildred Pierce,1945.0,112.0,auto
860,861.0,45 Years,2015.0,Andrew Haigh,"United Kingdom,",tt3544082,45 Years,2015.0,112.0,auto
861,862.0,Canoa: A Shameful Memory,1976.0,Felipe Cazals,"Mexico,",tt0131335,Canoa: A Shameful Memory,1976.0,112.0,auto
862,863.0,Multiple Maniacs,1970.0,John Waters,"United States,",tt0067454,Multiple Maniacs,1970.0,112.0,auto
