criterion_id,spine,criterion_title,criterion_year,criterion_director,criterion_country,reason
1649,,Eclipse Series 43: Agnès Varda in California,,,,no title candidates
1650,,Uncle Yanco,1968.0,Agnès Varda,"France,",no title candidates
1651,,Black Panthers,1970.0,Agnès Varda,"France,",year window removed all
1655,,Eclipse Series 44: Julien Duvivier in the Thirties,,,,no title candidates
1660,,Eclipse Series 45: Claude Autant-Lara—Four Romantic Escapes from Occupied France,,,,no title candidates
1665,,Eclipse Series 46: Ingrid Bergman’s Swedish Years,,,,no title candidates
1672,,A Tale of Autumn,1998.0,Eric Rohmer,"France,",no title candidates
1679,,Toothache,1980.0,Abbas Kiarostami,"Iran,",year window removed all
1680,,L’enfant aimé ou Je joue à être une femme mariée,1971.0,Chantal Akerman,"Belgium,",no title candidates
1695,,"Non, Je Ne Regrette Rien (No Regret)",1993.0,Marlon Riggs,"United States,",no title candidates
1697,,"Red, White and Blue",2020.0,Steve McQueen,"United Kingdom,",year window removed all
1702,,Solution No. 1,1978.0,Abbas Kiarostami,"Iran,",no title candidates
1708,,Two Solutions for One Problem,1975.0,Abbas Kiarostami,"Iran,",no title candidates
1710,,Tribute to Teachers,1977.0,Abbas Kiarostami,"Iran,",no title candidates
1715,,Room 666 / Room 999,,,,no title candidates
1719,,Pasolini 101,,,,no title candidates
1722,,Executioners,1993.0,Johnnie To and Ching Siu-tung,"Hong Kong,",ambiguous_or_low_confidence
1730,,Colors,1976.0,Abbas Kiarostami,"Iran,",year window removed all
1738,,CC40,,,,no title candidates
1741,,Anthem,1991.0,Marlon Riggs,"United States,",year window removed all
1742,,Breaktime,1972.0,Abbas Kiarostami,"Iran,",no title candidates
1745,,Orderly or Disorderly,1981.0,Abbas Kiarostami,"Iran,",no title candidates
1750,,A Tale of Summer,1996.0,Eric Rohmer,"France,",no title candidates
1756,,Le 15/8,1973.0,Chantal Akerman and Samy Szlingerbaum,"Belgium,",no title candidates
1766,,Lovers Rock,2020.0,Steve McQueen,"United Kingdom,",year window removed all
1767,,"The Wes Anderson Archive: Ten Films, Twenty-Five Years",,,,no title candidates
1772,,The Chorus,1982.0,Abbas Kiarostami,"Iran,",year window removed all
1773,,Affirmations,1990.0,Marlon Riggs,"United States,",no title candidates
1778,,Streetwise/Tiny: The Life of Erin Blackwell,,,,no title candidates
1779,,Alex Wheatle,2020.0,Steve McQueen,"United Kingdom,",no title candidates
1780,,Eclipse Series 47: Abbas Kiarostami—Early Shorts and Features,,,,no title candidates
1781,,Bread and Alley,1970.0,Abbas Kiarostami,"Iran,",no title candidates
1790,,So Can I,1975.0,Abbas Kiarostami,"Iran,",no title candidates
1794,,Saute ma ville,1968.0,Chantal Akerman,"Belgium,",no title candidates
1800,,Mangrove,2020.0,Steve McQueen,"United Kingdom,",year window removed all
